Project Name,Package Name,Architecture Smell,Cause of the Smell
commons-lang,org.apache.commons.lang3,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 250
commons-lang,org.apache.commons.lang3,God Component,The tool detected the smell in this component because the component contains high number of LOC (Lines Of Code). The total LOC of the component: 40768
commons-lang,org.apache.commons.lang3,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.commons.lang3.text.translate; org.apache.commons.lang3.mutable; org.apache.commons.lang3.text; org.apache.commons.lang3.exception; org.apache.commons.lang3.builder; org.apache.commons.lang3.function; org.apache.commons.lang3.stream; org.apache.commons.lang3.time
commons-lang,org.apache.commons.lang3,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ArraySorterTest; AbstractLangTest; ArrayUtils; ArraySorter; CharSequenceUtils; CharUtils; Validate; RandomUtils; ObjectUtils; AnnotationUtils; Streams; BooleanUtils; EnumUtils; CharSetUtils; LocaleUtilsTest; LocaleUtils; SystemUtils; StringUtils; StringEscapeUtils; Charsets; CharSet; CharRange; CharRange.CharacterIterator; ClassUtils; RandomStringUtils; SystemProperties; ArchUtils; JavaVersion; RegExUtils; CharSetTest; SerializationUtils; ClassLoaderUtilsTest; ClassLoaderUtils; CharUtilsPerfRun; ConversionTest; Conversion; SystemUtilsTest; AnnotationUtilsTest; StringUtilsStartsEndsWithTest; StreamsTest; Functions; ClassUtilsTest; FunctionsTest; ArrayUtilsInsertTest; SystemPropertiesTest; ArrayUtilsSetTest; StringUtilsTrimStripTest; StringUtilsTest; StringUtilsIsTest; Supplementary; StringEscapeUtilsTest; ArrayUtilsAddTest; NotImplementedExceptionTest; NotImplementedException; CharRangeTest; RegExUtilsTest; BitFieldTest; BitField; LongRangeTest; LongRange; Range; NumberRange; StringUtilsEmptyBlankTest; ArrayUtilsRemoveTest; BooleanUtilsTest; ClassPathUtilsTest; ClassPathUtils; CharSetUtilsTest; StringUtilsValueOfTest; RandomStringUtilsTest; ArchUtilsTest; Enum64; Enum64.EnumUtilsTest; ArrayUtilsRemoveMultipleTest; CharEncodingTest; CharEncoding; HashSetvBitSetTest; RandomUtilsTest; StringUtilsContainsTest; ValidateTest; ArrayUtilsTest; IntegerRangeTest; IntegerRange; SerializationUtilsTest; SerializationUtilsTest.ClassNotFoundSerialization; SerializationException; CharsetsTest; StringUtilsSubstringTest; RangeTest; DoubleRangeTest; DoubleRange; CharUtilsTest; CharSequenceUtilsTest; JavaVersionTest; StringUtilsEqualsIndexOfTest; ThreadUtilsTest; ThreadUtils; ObjectUtilsTest; StringEscapeUtils.CsvEscaper; StringEscapeUtils.CsvUnescaper]; [AnnotationUtilsTest.None]; [AnnotationUtilsTest.Stooge]; [ClassUtilsTest.CX]; [ClassUtilsTest.CY]; [ClassUtilsTest.IA]; [ClassUtilsTest.IB]; [ClassUtilsTest.IC]; [ClassUtilsTest.ID]; [ClassUtilsTest.IE]; [ClassUtilsTest.IF]; [ClassUtilsTest.Inner]; [ClassUtilsTest.DeeplyNested]; [ClassUtilsTest.Named]; [ClassUtilsTest.Named]; [ClassUtilsTest.Named]; [ClassUtilsTest.Named]; [ClassUtilsTest.Named]; [ClassUtilsTest.Named]; [ClassUtilsTest.Named]; [ClassUtilsTest.Named]; [ClassUtilsTest.Named]; [ClassUtilsTest.Named]; [ClassUtilsTest.Named]; [ClassUtilsTest.Named]; [FunctionsTest.CloseableObject]; [FunctionsTest.FailureOnOddInvocations]; [FunctionsTest.SomeException]; [FunctionsTest.Testable]; [Enum64.Month]; [Enum64.TooMany]; [Enum64.Traffic]; [Enum64.Traffic2]; [ValidateTest.IsTrue]; [ValidateTest.WithoutMessage]; [ValidateTest.WithMessage]; [ValidateTest.WithLongTemplate]; [ValidateTest.WithDoubleTemplate]; [ValidateTest.WithObjectTemplate]; [ValidateTest.NotNull]; [ValidateTest.WithoutMessage]; [ValidateTest.WithMessage]; [ValidateTest.NotEmpty]; [ValidateTest.WithArray]; [ValidateTest.WithoutMessage]; [ValidateTest.WithMessage]; [ValidateTest.WithCollection]; [ValidateTest.WithoutMessage]; [ValidateTest.WithMessage]; [ValidateTest.WithMap]; [ValidateTest.WithoutMessage]; [ValidateTest.WithMessage]; [ValidateTest.WithCharSequence]; [ValidateTest.WithoutMessage]; [ValidateTest.WithMessage]; [ValidateTest.NotBlank]; [ValidateTest.WithoutMessage]; [ValidateTest.WithMessage]; [ValidateTest.NoNullElements]; [ValidateTest.WithArray]; [ValidateTest.WithoutMessage]; [ValidateTest.WithMessage]; [ValidateTest.WithCollection]; [ValidateTest.WithoutMessage]; [ValidateTest.WithMessage]; [ValidateTest.ValidState]; [ValidateTest.WitMessage]; [ValidateTest.WithoutMessage]; [ValidateTest.ValidIndex]; [ValidateTest.WithArray]; [ValidateTest.WithoutMessage]; [ValidateTest.WithMessage]; [ValidateTest.WithCollection]; [ValidateTest.WithoutMessage]; [ValidateTest.WithMessage]; [ValidateTest.WithCharSequence]; [ValidateTest.WithoutMessage]; [ValidateTest.WithMessage]; [ValidateTest.MatchesPattern]; [ValidateTest.WithoutMessage]; [ValidateTest.WithMessage]; [ValidateTest.NotNaN]; [ValidateTest.WithoutMessage]; [ValidateTest.WithMessage]; [ValidateTest.Finite]; [ValidateTest.WithoutMessage]; [ValidateTest.WithMessage]; [ValidateTest.InclusiveBetween]; [ValidateTest.WithComparable]; [ValidateTest.WithoutMessage]; [ValidateTest.WithMessage]; [ValidateTest.WithLong]; [ValidateTest.WithoutMessage]; [ValidateTest.WithMessage]; [ValidateTest.WithDouble]; [ValidateTest.WithoutMessage]; [ValidateTest.WithMessage]; [ValidateTest.ExclusiveBetween]; [ValidateTest.WithComparable]; [ValidateTest.WithoutMessage]; [ValidateTest.WithMessage]; [ValidateTest.WithLong]; [ValidateTest.WithoutMessage]; [ValidateTest.WithMessage]; [ValidateTest.WithDouble]; [ValidateTest.WithoutMessage]; [ValidateTest.WithMessage]; [ValidateTest.IsInstanceOf]; [ValidateTest.WithoutMessage]; [ValidateTest.WithMessage]; [ValidateTest.WithMessageTemplate]; [ValidateTest.IsAssignable]; [ValidateTest.WithoutMessage]; [ValidateTest.WithMessage]; [ValidateTest.UtilClassConventions]; [ArrayUtilsTest.TestClass]; [ArrayUtilsTest.LANG1261ParentObject]; [ArrayUtilsTest.LANG1261ChildObject]; [RangeTest.AbstractComparable]; [RangeTest.DerivedComparableA]; [RangeTest.DerivedComparableB]; [CharSequenceUtilsTest.TestData]; [CharSequenceUtilsTest.RunTest]; [CharSequenceUtilsTest.WrapperString]; [StringUtilsEqualsIndexOfTest.CustomCharSequence]; [ThreadUtilsTest.TestThread]; [ObjectUtilsTest.CharSequenceComparator]; [ObjectUtilsTest.CloneableString]; [ObjectUtilsTest.NonComparableCharSequence]; [ObjectUtilsTest.UncloneableString]; [LocaleUtils.SyncAvoid]; [SerializationUtils.ClassLoaderAwareObjectInputStream]; [Functions.FailableBiConsumer]; [Functions.FailableBiFunction]; [Functions.FailableBiPredicate]; [Functions.FailableCallable]; [Functions.FailableConsumer]; [Functions.FailableFunction]; [Functions.FailablePredicate]; [Functions.FailableRunnable]; [Functions.FailableSupplier]; [ClassUtils.Interfaces]; [Range.ComparableComparator]; [ObjectUtils.Null]; [Streams.FailableStream]; [Streams.ArrayCollector]; [ThreadUtils.AlwaysTruePredicate]; [ThreadUtils.NamePredicate]; [ThreadUtils.ThreadGroupPredicate]; [ThreadUtils.ThreadIdPredicate]; [ThreadUtils.ThreadPredicate]. LCC (Lack of Component Cohesion) = 0.6
commons-lang,org.apache.commons.lang3,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.commons.lang3; org.apache.commons.lang3.text.translate; org.apache.commons.lang3
commons-lang,org.apache.commons.lang3,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.commons.lang3; org.apache.commons.lang3.mutable; org.apache.commons.lang3
commons-lang,org.apache.commons.lang3,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.commons.lang3; org.apache.commons.lang3.text; org.apache.commons.lang3
commons-lang,org.apache.commons.lang3,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.commons.lang3; org.apache.commons.lang3.exception; org.apache.commons.lang3
commons-lang,org.apache.commons.lang3,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.commons.lang3; org.apache.commons.lang3.builder; org.apache.commons.lang3
commons-lang,org.apache.commons.lang3,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.commons.lang3; org.apache.commons.lang3.stream; org.apache.commons.lang3
commons-lang,org.apache.commons.lang3,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.commons.lang3; org.apache.commons.lang3.math; org.apache.commons.lang3
commons-lang,org.apache.commons.lang3,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.commons.lang3; org.apache.commons.lang3.time; org.apache.commons.lang3
commons-lang,org.apache.commons.lang3,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.commons.lang3; org.apache.commons.lang3.builder; org.apache.commons.lang3.reflect; org.apache.commons.lang3
commons-lang,org.apache.commons.lang3,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.commons.lang3; org.apache.commons.lang3.builder; org.apache.commons.lang3.concurrent; org.apache.commons.lang3
commons-lang,org.apache.commons.lang3,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.commons.lang3; org.apache.commons.lang3.builder; org.apache.commons.lang3.tuple; org.apache.commons.lang3
commons-lang,org.apache.commons.lang3,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.commons.lang3; org.apache.commons.lang3.builder; org.apache.commons.lang3.reflect; org.apache.commons.lang3.compare; org.apache.commons.lang3
commons-lang,org.apache.commons.lang3.mutable,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.commons.lang3.time
commons-lang,org.apache.commons.lang3.stream,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [StreamsTest; Streams]; [LangCollectorsTest]; [LangCollectorsTest.Fixture]; [IntStreamsTest; IntStreams]; [LangCollectors]; [LangCollectors.SimpleCollector]; [Streams.ArrayCollector]; [Streams.EnumerationSpliterator]; [Streams.FailableStream]. LCC (Lack of Component Cohesion) = 0.82
