Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
commons-lang,org.apache.commons.lang3,LocaleUtilsTest,testToLocale_2Part,Long Statement,The length of the statement "assertThrows(IllegalArgumentException.class`() -> LocaleUtils.toLocale("us_En")`"Should fail second part not uppercase");" is 121.,167
commons-lang,org.apache.commons.lang3,LocaleUtilsTest,testToLocale_2Part,Long Statement,The length of the statement "assertThrows(IllegalArgumentException.class`() -> LocaleUtils.toLocale("us_en")`"Should fail second part not uppercase");" is 121.,167
commons-lang,org.apache.commons.lang3,LocaleUtilsTest,testToLocale_2Part,Long Statement,The length of the statement "assertThrows(IllegalArgumentException.class`() -> LocaleUtils.toLocale("us_eN")`"Should fail second part not uppercase");" is 121.,167
commons-lang,org.apache.commons.lang3,LocaleUtilsTest,testToLocale_2Part,Long Statement,The length of the statement "assertThrows(IllegalArgumentException.class`() -> LocaleUtils.toLocale("us_E3")`"Should fail second part not uppercase");" is 121.,167
commons-lang,org.apache.commons.lang3,LocaleUtilsTest,testToLocale_3Part,Long Statement,The length of the statement "assertThrows(IllegalArgumentException.class`() -> LocaleUtils.toLocale("us_EN-a")`"Should fail as no consistent delimiter");" is 124.,199
commons-lang,org.apache.commons.lang3,LocaleUtilsTest,assertLocaleLookupList,Long Statement,The length of the statement "final List<Locale> localeList=defaultLocale == null ? LocaleUtils.localeLookupList(locale) : LocaleUtils.localeLookupList(locale`defaultLocale);" is 144.,222
commons-lang,org.apache.commons.lang3,LocaleUtilsTest,testLocaleLookupList_LocaleLocale,Long Statement,The length of the statement "assertLocaleLookupList(LOCALE_EN_US_ZZZZ`LOCALE_QQ_ZZ`new Locale[]{LOCALE_EN_US_ZZZZ`LOCALE_EN_US`LOCALE_EN`LOCALE_QQ_ZZ});" is 123.,259
commons-lang,org.apache.commons.lang3,LocaleUtilsTest,testLang865,Long Statement,The length of the statement "assertThrows(IllegalArgumentException.class`() -> LocaleUtils.toLocale("_G")`"Must be at least 3 chars if starts with underscore");" is 131.,495
commons-lang,org.apache.commons.lang3,LocaleUtilsTest,testLang865,Long Statement,The length of the statement "assertThrows(IllegalArgumentException.class`() -> LocaleUtils.toLocale("_Gb")`"Must be uppercase if starts with underscore");" is 125.,495
commons-lang,org.apache.commons.lang3,LocaleUtilsTest,testLang865,Long Statement,The length of the statement "assertThrows(IllegalArgumentException.class`() -> LocaleUtils.toLocale("_gB")`"Must be uppercase if starts with underscore");" is 125.,495
