Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
commons-lang,org.apache.commons.lang3,FunctionsTest.CloseableObject,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-lang,org.apache.commons.lang3,FunctionsTest.FailureOnOddInvocations,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-lang,org.apache.commons.lang3,FunctionsTest.SomeException,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-lang,org.apache.commons.lang3,FunctionsTest.Testable,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-lang,org.apache.commons.lang3,NotImplementedExceptionTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.lang3.NotImplementedException
commons-lang,org.apache.commons.lang3,CharRangeTest,Law of Demeter violation,The tool detected the smell in this method (testHashCode) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.lang3.CharRange.is; org.apache.commons.lang3.CharRange.hashCode
commons-lang,org.apache.commons.lang3,CharRangeTest,Law of Demeter violation,The tool detected the smell in this method (testHashCode) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.lang3.CharRange.isIn; org.apache.commons.lang3.CharRange.hashCode
commons-lang,org.apache.commons.lang3,CharRangeTest,Law of Demeter violation,The tool detected the smell in this method (testHashCode) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.lang3.CharRange.isIn; org.apache.commons.lang3.CharRange.hashCode
commons-lang,org.apache.commons.lang3,BitFieldTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.lang3.BitField
commons-lang,org.apache.commons.lang3,StringUtilsTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.lang3.mutable.MutableInt
commons-lang,org.apache.commons.lang3,StringUtilsTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
commons-lang,org.apache.commons.lang3,DoubleRangeTest,Law of Demeter violation,The tool detected the smell in this method (testToString) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.lang3.Range.toString; org.apache.commons.lang3.DoubleRange.of
commons-lang,org.apache.commons.lang3,ObjectUtilsTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.lang3.text.StrBuilder; org.apache.commons.lang3.mutable.MutableInt
commons-lang,org.apache.commons.lang3,SystemUtils,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: FILE_ENCODING; FILE_SEPARATOR; JAVA_AWT_FONTS; JAVA_AWT_GRAPHICSENV; JAVA_AWT_HEADLESS; JAVA_AWT_PRINTERJOB; JAVA_CLASS_PATH; JAVA_CLASS_VERSION; JAVA_COMPILER; JAVA_ENDORSED_DIRS; JAVA_EXT_DIRS; JAVA_HOME; JAVA_IO_TMPDIR; JAVA_LIBRARY_PATH; JAVA_RUNTIME_NAME; JAVA_RUNTIME_VERSION; JAVA_SPECIFICATION_NAME; JAVA_SPECIFICATION_VENDOR; JAVA_SPECIFICATION_VERSION; JAVA_UTIL_PREFS_PREFERENCES_FACTORY; JAVA_VENDOR; JAVA_VENDOR_URL; JAVA_VERSION; JAVA_VM_INFO; JAVA_VM_NAME; JAVA_VM_SPECIFICATION_NAME; JAVA_VM_SPECIFICATION_VENDOR; JAVA_VM_SPECIFICATION_VERSION; JAVA_VM_VENDOR; JAVA_VM_VERSION; LINE_SEPARATOR; OS_ARCH; OS_NAME; OS_VERSION; PATH_SEPARATOR; USER_COUNTRY; USER_DIR; USER_HOME; USER_LANGUAGE; USER_NAME; USER_TIMEZONE; IS_JAVA_1_1; IS_JAVA_1_2; IS_JAVA_1_3; IS_JAVA_1_4; IS_JAVA_1_5; IS_JAVA_1_6; IS_JAVA_1_7; IS_JAVA_1_8; IS_JAVA_1_9; IS_JAVA_9; IS_JAVA_10; IS_JAVA_11; IS_JAVA_12; IS_JAVA_13; IS_JAVA_14; IS_JAVA_15; IS_JAVA_16; IS_JAVA_17; IS_JAVA_18; IS_JAVA_19; IS_JAVA_20; IS_JAVA_21; IS_OS_AIX; IS_OS_HP_UX; IS_OS_400; IS_OS_IRIX; IS_OS_LINUX; IS_OS_MAC; IS_OS_MAC_OSX; IS_OS_MAC_OSX_CHEETAH; IS_OS_MAC_OSX_PUMA; IS_OS_MAC_OSX_JAGUAR; IS_OS_MAC_OSX_PANTHER; IS_OS_MAC_OSX_TIGER; IS_OS_MAC_OSX_LEOPARD; IS_OS_MAC_OSX_SNOW_LEOPARD; IS_OS_MAC_OSX_LION; IS_OS_MAC_OSX_MOUNTAIN_LION; IS_OS_MAC_OSX_MAVERICKS; IS_OS_MAC_OSX_YOSEMITE; IS_OS_MAC_OSX_EL_CAPITAN; IS_OS_MAC_OSX_SIERRA; IS_OS_MAC_OSX_HIGH_SIERRA; IS_OS_MAC_OSX_MOJAVE; IS_OS_MAC_OSX_CATALINA; IS_OS_MAC_OSX_BIG_SUR; IS_OS_MAC_OSX_MONTEREY; IS_OS_MAC_OSX_VENTURA; IS_OS_FREE_BSD; IS_OS_OPEN_BSD; IS_OS_NET_BSD; IS_OS_OS2; IS_OS_SOLARIS; IS_OS_SUN_OS; IS_OS_UNIX; IS_OS_WINDOWS; IS_OS_WINDOWS_2000; IS_OS_WINDOWS_2003; IS_OS_WINDOWS_2008; IS_OS_WINDOWS_2012; IS_OS_WINDOWS_95; IS_OS_WINDOWS_98; IS_OS_WINDOWS_ME; IS_OS_WINDOWS_NT; IS_OS_WINDOWS_XP; IS_OS_WINDOWS_VISTA; IS_OS_WINDOWS_7; IS_OS_WINDOWS_8; IS_OS_WINDOWS_10; IS_OS_WINDOWS_11; IS_OS_ZOS; USER_HOME_KEY; USER_NAME_KEY; USER_DIR_KEY; JAVA_IO_TMPDIR_KEY; JAVA_HOME_KEY; AWT_TOOLKIT
commons-lang,org.apache.commons.lang3,StringUtils,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: SPACE; EMPTY; LF; CR; INDEX_NOT_FOUND
commons-lang,org.apache.commons.lang3,StringUtils,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
commons-lang,org.apache.commons.lang3,StringEscapeUtils,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.lang3.text.translate.CharSequenceTranslator
