Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
commons-lang,org.apache.commons.lang3,ArraySorterTest,0,0,9,9,56,9,0,1,-1.0,0,1,/Users/sachitsingh/git/3130/DesigniteJava/../../commons-lang/src/test/java/org/apache/commons/lang3/ArraySorterTest.java,26
commons-lang,org.apache.commons.lang3,LocaleUtilsTest,7,0,26,19,337,37,0,1,0.34615384615384615,0,3,/Users/sachitsingh/git/3130/DesigniteJava/../../commons-lang/src/test/java/org/apache/commons/lang3/LocaleUtilsTest.java,43
commons-lang,org.apache.commons.lang3,CharSetTest,0,0,15,15,356,15,0,1,-1.0,0,3,/Users/sachitsingh/git/3130/DesigniteJava/../../commons-lang/src/test/java/org/apache/commons/lang3/CharSetTest.java,32
commons-lang,org.apache.commons.lang3,ClassLoaderUtilsTest,0,0,4,4,24,4,0,1,-1.0,0,1,/Users/sachitsingh/git/3130/DesigniteJava/../../commons-lang/src/test/java/org/apache/commons/lang3/ClassLoaderUtilsTest.java,29
commons-lang,org.apache.commons.lang3,CharUtilsPerfRun,3,0,7,1,75,13,0,0,0.0,0,3,/Users/sachitsingh/git/3130/DesigniteJava/../../commons-lang/src/test/java/org/apache/commons/lang3/CharUtilsPerfRun.java,23
commons-lang,org.apache.commons.lang3,ConversionTest,0,0,45,44,808,50,0,1,-1.0,0,2,/Users/sachitsingh/git/3130/DesigniteJava/../../commons-lang/src/test/java/org/apache/commons/lang3/ConversionTest.java,32
commons-lang,org.apache.commons.lang3,SystemUtilsTest,0,0,22,21,628,53,0,1,-1.0,0,1,/Users/sachitsingh/git/3130/DesigniteJava/../../commons-lang/src/test/java/org/apache/commons/lang3/SystemUtilsTest.java,49
commons-lang,org.apache.commons.lang3,AnnotationUtilsTest,9,4,11,11,157,16,0,1,0.45454545454545453,0,1,/Users/sachitsingh/git/3130/DesigniteJava/../../commons-lang/src/test/java/org/apache/commons/lang3/AnnotationUtilsTest.java,40
commons-lang,org.apache.commons.lang3,AnnotationUtilsTest.None,1,0,0,0,3,0,0,0,-1.0,0,0,/Users/sachitsingh/git/3130/DesigniteJava/../../commons-lang/src/test/java/org/apache/commons/lang3/AnnotationUtilsTest.java,384
commons-lang,org.apache.commons.lang3,AnnotationUtilsTest.Stooge,0,0,0,0,1,0,0,0,-1.0,0,0,/Users/sachitsingh/git/3130/DesigniteJava/../../commons-lang/src/test/java/org/apache/commons/lang3/AnnotationUtilsTest.java,390
